2023-03-09 18:29:08,952 INFO    StreamThr :15080 [internal.py:wandb_internal():87] W&B internal server running at pid: 15080, started at: 2023-03-09 18:29:08.952027
2023-03-09 18:29:08,954 DEBUG   HandlerThread:15080 [handler.py:handle_request():144] handle_request: status
2023-03-09 18:29:08,957 INFO    WriterThread:15080 [datastore.py:open_for_write():85] open: C:\Users\Theresa\OneDrive - KU Leuven\Documents\GitHub\simplify_dutch\wandb\run-20230309_182908-2ovsqvde\run-2ovsqvde.wandb
2023-03-09 18:29:08,961 DEBUG   SenderThread:15080 [sender.py:send():336] send: header
2023-03-09 18:29:09,014 DEBUG   SenderThread:15080 [sender.py:send():336] send: run
2023-03-09 18:29:09,937 DEBUG   HandlerThread:15080 [handler.py:handle_request():144] handle_request: check_version
2023-03-09 18:29:09,954 INFO    SenderThread:15080 [dir_watcher.py:__init__():216] watching files in: C:\Users\Theresa\OneDrive - KU Leuven\Documents\GitHub\simplify_dutch\wandb\run-20230309_182908-2ovsqvde\files
2023-03-09 18:29:09,954 INFO    SenderThread:15080 [sender.py:_start_run_threads():1067] run started: 2ovsqvde with start time 1678382948.954431
2023-03-09 18:29:09,954 DEBUG   SenderThread:15080 [sender.py:send_request():363] send_request: summary_record
2023-03-09 18:29:09,954 INFO    SenderThread:15080 [sender.py:_save_file():1321] saving file wandb-summary.json with policy end
2023-03-09 18:29:09,954 DEBUG   SenderThread:15080 [sender.py:send_request():363] send_request: check_version
2023-03-09 18:29:10,286 DEBUG   HandlerThread:15080 [handler.py:handle_request():144] handle_request: run_start
2023-03-09 18:29:10,357 DEBUG   HandlerThread:15080 [system_info.py:__init__():31] System info init
2023-03-09 18:29:10,357 DEBUG   HandlerThread:15080 [system_info.py:__init__():46] System info init done
2023-03-09 18:29:10,357 INFO    HandlerThread:15080 [system_monitor.py:start():151] Starting system monitor
2023-03-09 18:29:10,357 INFO    SystemMonitor:15080 [system_monitor.py:_start():116] Starting system asset monitoring threads
2023-03-09 18:29:10,364 INFO    HandlerThread:15080 [system_monitor.py:probe():172] Collecting system info
2023-03-09 18:29:10,368 INFO    SystemMonitor:15080 [interfaces.py:start():168] Started cpu
2023-03-09 18:29:10,372 DEBUG   HandlerThread:15080 [system_info.py:probe():195] Probing system
2023-03-09 18:29:10,372 INFO    SystemMonitor:15080 [interfaces.py:start():168] Started disk
